                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6921,                  2.973,                 1.7956,                0.41845,                0.23015,                0.19608,                0.08904,                  1.923,                 3.5475,                  2.122,             0.00055152,             0.00055152,             0.00055152
                      2,                 1.6954,                 2.5224,                 1.7765,                0.30347,                0.27928,                0.20735,                0.09251,                 2.0768,                 2.9111,                 2.2862,              0.0010962,              0.0010962,              0.0010962
                      3,                  1.718,                 2.3842,                 1.8103,                 0.4184,                0.31278,                0.24225,                  0.101,                 1.9533,                 3.1487,                 2.0578,              0.0016299,              0.0016299,              0.0016299
                      4,                 1.6794,                 2.2005,                 1.7664,                 0.4419,                0.32176,                 0.2881,                0.13386,                 1.9862,                 2.3511,                 2.1378,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6729,                 2.1351,                 1.7561,                0.46572,                0.38546,                0.35063,                0.17141,                 1.8218,                 2.1238,                 1.9175,               0.001601,               0.001601,               0.001601
                      6,                 1.6279,                 2.0646,                 1.7167,                0.50309,                0.44221,                0.38848,                0.19145,                 1.6333,                 2.5507,                 1.7509,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.5616,                 1.9337,                 1.6632,                 0.6073,                0.44887,                0.47272,                0.26533,                 1.6032,                 1.7894,                 1.7194,               0.001568,               0.001568,               0.001568
                      8,                  1.542,                 1.8884,                 1.6526,                0.60576,                0.41744,                0.43917,                0.23219,                 1.7904,                 1.9256,                 1.8582,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5092,                 1.7803,                 1.6149,                 0.6272,                0.46375,                0.46703,                0.24766,                 1.6471,                 1.7633,                 1.7613,               0.001535,               0.001535,               0.001535
                     10,                 1.5008,                 1.7723,                 1.6189,                0.47563,                 0.4636,                0.39892,                0.20562,                 1.6742,                 1.9741,                 1.7658,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4756,                 1.7454,                 1.6087,                0.61994,                0.47836,                0.47933,                 0.2655,                 1.6288,                 1.7696,                 1.7191,               0.001502,               0.001502,               0.001502
                     12,                 1.4573,                 1.7233,                 1.5798,                0.64751,                0.51978,                0.56308,                0.32764,                 1.5139,                 1.4485,                  1.607,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.445,                 1.6682,                 1.5664,                0.53174,                0.44812,                0.42764,                0.23646,                 1.5975,                 1.8559,                 1.7071,               0.001469,               0.001469,               0.001469
                     14,                  1.414,                 1.5684,                 1.5348,                0.69241,                0.52915,                0.57736,                0.35073,                 1.4409,                 1.4363,                 1.5814,              0.0014525,              0.0014525,              0.0014525
                     15,                  1.392,                 1.5853,                  1.519,                0.65809,                0.57542,                0.58754,                0.35473,                 1.4019,                  1.447,                 1.5454,               0.001436,               0.001436,               0.001436
                     16,                 1.3724,                 1.5572,                 1.5147,                  0.642,                 0.5466,                0.53732,                0.31446,                 1.4628,                 1.6559,                 1.5812,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3711,                 1.5056,                 1.5032,                0.69284,                 0.5495,                0.58787,                0.33663,                 1.4984,                 1.4191,                 1.5961,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3735,                  1.537,                  1.517,                0.71011,                0.60075,                0.62054,                0.38163,                 1.4054,                  1.323,                 1.5288,              0.0013864,              0.0013864,              0.0013864
                     19,                   1.34,                 1.4677,                 1.4813,                0.74854,                0.61049,                0.65593,                 0.3901,                 1.4088,                 1.2627,                 1.5172,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.3131,                  1.449,                 1.4737,                0.70272,                0.53939,                0.59956,                 0.3804,                 1.3432,                 1.4259,                 1.5027,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2951,                 1.4116,                 1.4678,                 0.7007,                0.60514,                  0.656,                0.38902,                 1.3863,                 1.2818,                 1.5087,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3066,                 1.4229,                 1.4729,                0.70327,                0.58149,                0.62036,                 0.3442,                 1.4682,                 1.3735,                 1.5715,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2707,                 1.3771,                  1.435,                0.72574,                0.59595,                0.64822,                0.41298,                 1.3072,                 1.2243,                 1.4399,              0.0013039,              0.0013039,              0.0013039
                     24,                  1.255,                 1.3659,                 1.4331,                0.66825,                0.61379,                0.61903,                0.38199,                 1.3586,                 1.3969,                 1.5093,              0.0012874,              0.0012874,              0.0012874
                     25,                  1.261,                  1.347,                 1.4275,                0.68783,                0.60653,                0.61847,                0.36435,                 1.4027,                 1.2893,                 1.5285,              0.0012709,              0.0012709,              0.0012709
                     26,                  1.238,                 1.3525,                 1.4344,                0.66985,                0.62089,                 0.6314,                0.39312,                 1.3358,                 1.2889,                 1.4481,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.2153,                  1.317,                 1.4048,                 0.7567,                0.61264,                0.67853,                0.43192,                 1.2736,                 1.1505,                 1.4346,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.2593,                 1.3232,                  1.417,                 0.7535,                0.59406,                0.65979,                0.41092,                 1.3554,                 1.2128,                 1.4908,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2164,                  1.281,                 1.4024,                0.73069,                0.65062,                0.69541,                0.43722,                 1.2702,                 1.1239,                 1.4213,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1891,                 1.2337,                 1.3751,                0.69905,                0.65527,                0.68813,                0.44651,                 1.2293,                 1.1137,                 1.3998,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.2009,                 1.2576,                 1.3964,                0.72354,                0.64234,                0.67878,                0.43907,                 1.2671,                 1.1544,                 1.4251,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.2025,                 1.2677,                 1.3874,                 0.6782,                0.62351,                0.63973,                0.39437,                 1.3159,                 1.2237,                 1.4569,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1796,                 1.2432,                 1.3759,                0.75442,                0.57747,                0.65459,                 0.4247,                 1.2426,                 1.1655,                 1.3885,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1725,                   1.23,                 1.3665,                0.69678,                0.63382,                0.66301,                0.43506,                 1.2681,                 1.1738,                 1.4127,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.1746,                 1.2336,                 1.3662,                0.75411,                 0.6311,                0.70088,                0.45071,                 1.2475,                 1.0813,                 1.3972,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1683,                 1.2255,                 1.3685,                0.71409,                0.66339,                0.68716,                0.44997,                 1.1902,                 1.1139,                 1.3575,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1559,                 1.2055,                 1.3553,                0.73843,                0.65143,                0.69626,                0.43971,                 1.2388,                 1.1364,                  1.392,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1274,                 1.1554,                 1.3368,                0.76906,                0.65581,                0.71527,                0.47548,                 1.1975,                  1.042,                 1.3456,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1213,                 1.1549,                 1.3269,                0.71423,                0.65429,                0.69479,                0.45286,                  1.234,                 1.0711,                 1.3907,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1349,                 1.1671,                 1.3476,                0.76081,                0.63397,                0.69653,                0.46421,                 1.2198,                 1.0373,                 1.3613,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.1335,                 1.1573,                 1.3431,                0.72557,                0.68167,                0.73147,                0.46884,                 1.2177,                 1.0629,                 1.3771,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0904,                  1.109,                 1.3242,                0.76863,                0.68502,                0.73595,                0.48809,                 1.1578,                0.99685,                 1.3389,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1076,                 1.1277,                 1.3212,                0.78729,                0.67509,                0.74261,                0.50674,                 1.1406,                0.97858,                  1.318,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0839,                 1.1152,                 1.3084,                0.74365,                0.67956,                0.74361,                0.49815,                 1.1547,                 1.0021,                 1.3357,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0815,                  1.117,                 1.3199,                 0.7233,                0.70845,                0.74211,                0.51881,                 1.1176,                0.95819,                 1.2954,             0.00094085,             0.00094085,             0.00094085
                     46,                   1.06,                 1.0613,                 1.2921,                0.75531,                 0.6857,                0.73936,                0.50709,                 1.1317,                0.98428,                 1.3094,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0666,                 1.0666,                 1.2903,                0.74703,                0.68804,                0.74831,                0.50668,                 1.1384,                0.95123,                 1.3289,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0687,                 1.0656,                 1.3024,                0.77326,                0.68718,                0.75677,                 0.5257,                 1.0888,                0.92273,                 1.2692,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0358,                 1.0297,                 1.2794,                0.79569,                0.67595,                0.76445,                0.52899,                 1.0843,                0.91154,                 1.2839,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0436,                 1.0198,                 1.2757,                0.75175,                0.71782,                0.75247,                0.51956,                   1.11,                0.92421,                 1.2898,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0277,                 1.0241,                 1.2735,                0.77802,                0.68946,                0.76515,                0.52783,                 1.0803,                0.92251,                 1.2675,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0484,                 1.0276,                  1.284,                0.81932,                0.70976,                0.77497,                0.53878,                 1.0613,                0.90486,                 1.2439,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0426,                 1.0173,                  1.279,                0.75628,                0.73567,                 0.7824,                0.54674,                  1.039,                 0.9111,                 1.2383,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0155,                0.99641,                 1.2667,                0.78384,                 0.7168,                0.79205,                0.55318,                 1.0596,                 0.8787,                   1.26,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0157,                 1.0068,                 1.2634,                0.79077,                0.72742,                0.79169,                0.56523,                 1.0394,                0.87598,                 1.2428,             0.00077582,             0.00077582,             0.00077582
                     56,                0.97982,                0.92947,                 1.2455,                0.78216,                0.73511,                0.78679,                0.56335,                 1.0491,                0.86043,                 1.2571,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0099,                0.99679,                 1.2617,                0.76645,                0.74309,                 0.7977,                0.57273,                 1.0089,                0.84234,                 1.2193,             0.00074282,             0.00074282,             0.00074282
                     58,                0.96251,                0.92219,                 1.2227,                0.79046,                0.74374,                0.80884,                 0.5826,                0.99561,                0.82774,                 1.2111,             0.00072631,             0.00072631,             0.00072631
                     59,                0.98874,                0.95516,                 1.2443,                0.74247,                  0.761,                0.79161,                0.56146,                 1.0246,                0.83418,                 1.2225,             0.00070981,             0.00070981,             0.00070981
                     60,                0.98716,                 0.9461,                 1.2388,                0.77514,                0.74762,                0.80077,                0.57793,                0.98704,                0.84001,                 1.2014,             0.00069331,             0.00069331,             0.00069331
                     61,                0.97445,                0.93574,                  1.233,                0.78401,                0.75938,                 0.8081,                0.58072,                 1.0069,                 0.8195,                 1.2044,              0.0006768,              0.0006768,              0.0006768
                     62,                0.94051,                0.90153,                  1.218,                 0.7571,                0.78473,                0.81219,                 0.5883,                0.96829,                0.81949,                 1.1911,              0.0006603,              0.0006603,              0.0006603
                     63,                0.96666,                0.92408,                 1.2286,                0.81584,                0.74964,                 0.8114,                0.59504,                0.97364,                0.81368,                 1.1976,              0.0006438,              0.0006438,              0.0006438
                     64,                0.95633,                0.92046,                 1.2261,                0.81993,                0.76877,                0.82428,                0.59998,                 0.9772,                0.81133,                 1.1892,             0.00062729,             0.00062729,             0.00062729
                     65,                0.94103,                0.90862,                 1.2095,                0.79292,                0.74775,                0.81308,                0.59255,                0.96762,                 0.8138,                 1.1948,             0.00061079,             0.00061079,             0.00061079
                     66,                0.92593,                0.87765,                 1.2069,                0.80601,                0.77067,                0.82019,                0.60046,                0.96968,                 0.8077,                 1.1908,             0.00059429,             0.00059429,             0.00059429
                     67,                0.91631,                0.87663,                 1.2032,                0.79026,                0.78815,                0.81717,                0.59694,                0.98136,                0.79239,                 1.1987,             0.00057778,             0.00057778,             0.00057778
                     68,                0.91515,                0.85538,                 1.1983,                0.80073,                0.76357,                0.81848,                0.59869,                0.97918,                0.78426,                 1.1981,             0.00056128,             0.00056128,             0.00056128
                     69,                  0.923,                0.88309,                 1.2064,                0.77547,                0.78608,                 0.8164,                0.60787,                0.94198,                0.80142,                 1.1657,             0.00054478,             0.00054478,             0.00054478
                     70,                0.91172,                0.86258,                 1.2015,                0.82271,                0.77808,                0.84018,                0.61455,                 0.9384,                0.77605,                 1.1651,             0.00052827,             0.00052827,             0.00052827
                     71,                0.89705,                0.85137,                 1.1842,                0.81817,                0.77843,                0.82881,                0.61378,                0.93306,                0.75915,                 1.1758,             0.00051177,             0.00051177,             0.00051177
                     72,                0.90201,                0.83836,                 1.1889,                0.79331,                0.78191,                0.82853,                0.61066,                0.93021,                0.77687,                  1.168,             0.00049527,             0.00049527,             0.00049527
                     73,                0.91429,                0.86033,                 1.1934,                 0.8216,                0.76487,                 0.8344,                0.62381,                0.90727,                0.76038,                 1.1437,             0.00047876,             0.00047876,             0.00047876
                     74,                0.88851,                 0.8194,                 1.1806,                0.80031,                0.78351,                0.83239,                0.61612,                0.91896,                0.76319,                 1.1539,             0.00046226,             0.00046226,             0.00046226
                     75,                0.89736,                0.84645,                 1.1914,                0.81467,                0.78237,                0.83617,                0.62245,                0.90765,                0.76598,                 1.1429,             0.00044576,             0.00044576,             0.00044576
